Ep ep_000221.15 | Time 0:14.39 | Steps   740 | Reward   32319.7 | Avg(10)  133665.4 | Dist     10m (  0.3%) | Buf  36.2% | Total  897771 | End: off_track
Ep ep_000222.15 | Time 0:57.77 | Steps  2836 | Reward  137147.1 | Avg(10)  130016.4 | Dist   1141m ( 36.8%) | Buf  36.8% | Total  900607 | End: off_track
Ep ep_000223.15 | Time 1:12.94 | Steps  3554 | Reward  173397.4 | Avg(10)  128695.3 | Dist   1707m ( 55.1%) | Buf  37.5% | Total  904161 | End: off_track
Ep ep_000224.15 | Time 1:20.64 | Steps  3904 | Reward  189785.2 | Avg(10)  129278.5 | Dist   1971m ( 63.6%) | Buf  38.3% | Total  908065 | End: off_track
Ep ep_000225.15 | Time 1:25.94 | Steps  4145 | Reward  201901.0 | Avg(10)  134269.3 | Dist   1979m ( 63.8%) | Buf  39.1% | Total  912210 | End: off_track
Ep ep_000226.15 | Time 1:13.23 | Steps  3567 | Reward  172787.6 | Avg(10)  134168.8 | Dist   1754m ( 56.6%) | Buf  39.8% | Total  915777 | End: off_track
Ep ep_000227.15 | Time 1:54.56 | Steps  5446 | Reward  266212.8 | Avg(10)  142465.8 | Dist   2771m ( 89.4%) | Buf  40.9% | Total  921223 | End: off_track
Ep ep_000228.15 | Time 1:18.88 | Steps  3824 | Reward  186751.5 | Avg(10)  142715.7 | Dist   1954m ( 63.1%) | Buf  41.7% | Total  925047 | End: off_track
Ep ep_000229.15 | Time 1:19.76 | Steps  3864 | Reward  188624.8 | Avg(10)  158184.8 | Dist   1955m ( 63.1%) | Buf  42.5% | Total  928911 | End: off_track
Ep ep_000230.15 | Time 1:20.90 | Steps  3916 | Reward  191407.1 | Avg(10)  174033.4 | Dist   1956m ( 63.1%) | Buf  43.2% | Total  932827 | End: off_track
Ep ep_000231.15 | Time 1:08.39 | Steps  3347 | Reward  160669.6 | Avg(10)  186868.4 | Dist   1523m ( 49.1%) | Buf  43.9% | Total  936174 | End: off_track
Ep ep_000232.15 | Time 1:08.85 | Steps  3368 | Reward  163705.0 | Avg(10)  189524.2 | Dist   1676m ( 54.1%) | Buf  44.6% | Total  939542 | End: off_track
Ep ep_000233.15 | Time 1:04.12 | Steps  3153 | Reward  153185.4 | Avg(10)  187503.0 | Dist   1447m ( 46.7%) | Buf  45.2% | Total  942695 | End: off_track
Ep ep_000234.15 | Time 1:15.36 | Steps  3664 | Reward  178712.5 | Avg(10)  186395.7 | Dist   1954m ( 63.0%) | Buf  45.9% | Total  946359 | End: off_track
Ep ep_000235.15 | Time 1:18.11 | Steps  3789 | Reward  183833.2 | Avg(10)  184589.0 | Dist   1972m ( 63.6%) | Buf  46.7% | Total  950148 | End: off_track
Ep ep_000236.15 | Time 1:14.94 | Steps  3645 | Reward  177711.5 | Avg(10)  185081.3 | Dist   1956m ( 63.1%) | Buf  47.4% | Total  953793 | End: off_track
Ep ep_000237.15 | Time 1:02.05 | Steps  3050 | Reward  148047.6 | Avg(10)  173264.8 | Dist   1449m ( 46.7%) | Buf  48.0% | Total  956843 | End: off_track
Ep ep_000238.15 | Time 1:16.68 | Steps  3724 | Reward  181769.8 | Avg(10)  172766.6 | Dist   1962m ( 63.3%) | Buf  48.8% | Total  960567 | End: off_track
Ep ep_000239.15 | Time 1:02.39 | Steps  3067 | Reward  148948.9 | Avg(10)  168799.0 | Dist   1445m ( 46.6%) | Buf  49.4% | Total  963634 | End: off_track
Ep ep_000240.15 | Time 1:16.11 | Steps  3698 | Reward  180037.6 | Avg(10)  167662.1 | Dist   1961m ( 63.3%) | Buf  50.1% | Total  967332 | End: off_track
Ep ep_000241.15 | Time 1:17.23 | Steps  3749 | Reward  183004.5 | Avg(10)  169895.6 | Dist   1969m ( 63.5%) | Buf  50.9% | Total  971081 | End: off_track
