Ep ep_000696.23 | Time 0:04.43 | Steps   258 | Reward   10580.2 | Avg(10)    8910.9 | Dist     10m (  0.3%) | Buf   1.8% | Total    9080 | End: off_track
Ep ep_000697.23 | Time 0:04.38 | Steps   256 | Reward   10578.1 | Avg(10)    9124.6 | Dist     10m (  0.3%) | Buf   1.9% | Total    9336 | End: off_track
Ep ep_000698.23 | Time 0:11.15 | Steps   578 | Reward   29938.4 | Avg(10)   11378.0 | Dist     10m (  0.3%) | Buf   2.0% | Total    9914 | End: off_track
Ep ep_000699.23 | Time 0:04.23 | Steps   249 | Reward   10157.2 | Avg(10)   11581.3 | Dist     10m (  0.3%) | Buf   2.0% | Total   10163 | End: off_track
Ep ep_000700.23 | Time 0:04.10 | Steps   243 | Reward    9769.9 | Avg(10)   11735.1 | Dist     10m (  0.3%) | Buf   2.1% | Total   10406 | End: off_track
Ep ep_000701.23 | Time 0:03.92 | Steps   235 | Reward    9266.7 | Avg(10)   11819.2 | Dist     10m (  0.3%) | Buf   2.1% | Total   10641 | End: off_track
Ep ep_000702.23 | Time 0:05.79 | Steps   320 | Reward   14292.7 | Avg(10)   12337.9 | Dist     10m (  0.3%) | Buf   2.2% | Total   10961 | End: off_track
Ep ep_000703.23 | Time 0:04.73 | Steps   272 | Reward   11385.7 | Avg(10)   12538.5 | Dist     10m (  0.3%) | Buf   2.2% | Total   11233 | End: off_track
Ep ep_000704.23 | Time 0:01.18 | Steps   107 | Reward    1099.8 | Avg(10)   11758.5 | Dist      7m (  0.2%) | Buf   2.3% | Total   11340 | End: damage
Ep ep_000705.23 | Time 0:07.09 | Steps   379 | Reward   17554.3 | Avg(10)   12462.3 | Dist     10m (  0.3%) | Buf   2.3% | Total   11719 | End: off_track
Ep ep_000706.23 | Time 0:04.40 | Steps   257 | Reward   10536.5 | Avg(10)   12457.9 | Dist     10m (  0.3%) | Buf   2.4% | Total   11976 | End: off_track
Ep ep_000707.23 | Time 0:04.16 | Steps   246 | Reward    9862.1 | Avg(10)   12386.3 | Dist     10m (  0.3%) | Buf   2.4% | Total   12222 | End: off_track
