Ep ep_000692.25 | Time 2:27.61 | Steps  7037 | Reward  415631.1 | Avg(10)  406187.0 | Dist   1989m ( 64.2%) | Buf  20.7% | Total  123718 | End: off_track
Ep ep_000693.25 | Time 2:28.25 | Steps  7069 | Reward  418759.9 | Avg(10)  434368.0 | Dist   1993m ( 64.3%) | Buf  22.1% | Total  130787 | End: off_track
Ep ep_000694.25 | Time 2:29.37 | Steps  7125 | Reward  421804.5 | Avg(10)  463086.4 | Dist   1989m ( 64.2%) | Buf  23.5% | Total  137912 | End: off_track
Ep ep_000695.25 | Time 2:32.55 | Steps  7284 | Reward  430490.3 | Avg(10)  492685.5 | Dist   1988m ( 64.1%) | Buf  25.0% | Total  145196 | End: off_track
Ep ep_000696.25 | Time 0:00.00 | Steps 10000 | Reward  594244.7 | Avg(10)  492578.4 | Dist   2867m ( 92.5%) | Buf  27.0% | Total  155196 | End: max_steps
Ep ep_000697.25 | Time 0:00.00 | Steps 10000 | Reward  593826.9 | Avg(10)  492436.5 | Dist   2865m ( 92.4%) | Buf  29.0% | Total  165196 | End: max_steps
Ep ep_000698.25 | Time 0:00.00 | Steps 10000 | Reward  592336.7 | Avg(10)  508391.0 | Dist   2724m ( 87.9%) | Buf  31.0% | Total  175196 | End: max_steps
Ep ep_000699.25 | Time 0:00.00 | Steps 10000 | Reward  590875.5 | Avg(10)  509123.4 | Dist   2603m ( 84.0%) | Buf  33.0% | Total  185196 | End: max_steps
Ep ep_000700.25 | Time 0:00.00 | Steps 10000 | Reward  594105.3 | Avg(10)  509015.4 | Dist   2712m ( 87.5%) | Buf  35.0% | Total  195196 | End: max_steps
=== Restarting after change (load: models/episodes/ep_000665.21) 2026-05-31 10:40:50 ===
=== Session 2026-05-31 10:41:22 | loaded: models/episodes/ep_000665.21 | next: ep_000666.26 ===
Ep ep_000666.26 | Time 0:03.90 | Steps   234 | Reward    8730.4 | Avg(10)    8730.4 | Dist     10m (  0.3%) | Buf   0.0% | Total     234 | End: off_track
Ep ep_000667.26 | Time 0:03.48 | Steps   215 | Reward    7612.7 | Avg(10)    8171.5 | Dist     10m (  0.3%) | Buf   0.1% | Total     449 | End: off_track
Ep ep_000668.26 | Time 0:02.93 | Steps   190 | Reward    5769.1 | Avg(10)    7370.7 | Dist     10m (  0.3%) | Buf   0.1% | Total     639 | End: off_track
Ep ep_000669.26 | Time 0:02.95 | Steps   191 | Reward    6226.8 | Avg(10)    7084.8 | Dist     10m (  0.3%) | Buf   0.2% | Total     830 | End: off_track
Ep ep_000670.26 | Time 0:03.70 | Steps   225 | Reward    8235.3 | Avg(10)    7314.9 | Dist     10m (  0.3%) | Buf   0.2% | Total    1055 | End: off_track
Ep ep_000671.26 | Time 0:03.83 | Steps   231 | Reward    8614.9 | Avg(10)    7531.5 | Dist     10m (  0.3%) | Buf   0.3% | Total    1286 | End: off_track
Ep ep_000672.26 | Time 0:03.50 | Steps   216 | Reward    7755.9 | Avg(10)    7563.6 | Dist     10m (  0.3%) | Buf   0.3% | Total    1502 | End: off_track
Ep ep_000673.26 | Time 0:03.44 | Steps   213 | Reward    7615.4 | Avg(10)    7570.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1715 | End: off_track
Ep ep_000674.26 | Time 0:03.96 | Steps   237 | Reward    8928.8 | Avg(10)    7721.0 | Dist     10m (  0.3%) | Buf   0.4% | Total    1952 | End: off_track
Ep ep_000675.26 | Time 0:05.35 | Steps   300 | Reward   12744.4 | Avg(10)    8223.4 | Dist     10m (  0.3%) | Buf   0.5% | Total    2252 | End: off_track
