Ep ep_000464.18 | Time 0:24.09 | Steps  1188 | Reward   54772.0 | Avg(10)  239389.8 | Dist     10m (  0.3%) | Buf  45.4% | Total  226818 | End: off_track
Ep ep_000465.18 | Time 0:23.58 | Steps  1165 | Reward   53525.2 | Avg(10)  214705.0 | Dist     10m (  0.3%) | Buf  45.6% | Total  227983 | End: off_track
Ep ep_000466.18 | Time 0:24.81 | Steps  1221 | Reward   56616.2 | Avg(10)  190940.5 | Dist     10m (  0.3%) | Buf  45.8% | Total  229204 | End: off_track
Ep ep_000467.18 | Time 0:22.72 | Steps  1126 | Reward   52091.1 | Avg(10)  151179.4 | Dist     10m (  0.3%) | Buf  46.1% | Total  230330 | End: off_track
Ep ep_000468.18 | Time 0:23.01 | Steps  1139 | Reward   52687.3 | Avg(10)  128455.5 | Dist     10m (  0.3%) | Buf  46.3% | Total  231469 | End: off_track
Ep ep_000469.18 | Time 0:23.12 | Steps  1144 | Reward   52897.6 | Avg(10)   94194.9 | Dist     10m (  0.3%) | Buf  46.5% | Total  232613 | End: off_track
Ep ep_000470.18 | Time 2:02.75 | Steps  5818 | Reward  283088.2 | Avg(10)   98356.8 | Dist   2114m ( 68.2%) | Buf  47.7% | Total  238431 | End: off_track
Ep ep_000471.18 | Time 2:00.59 | Steps  5720 | Reward  280010.3 | Avg(10)  120352.8 | Dist   2117m ( 68.3%) | Buf  48.8% | Total  244151 | End: off_track
Ep ep_000472.18 | Time 1:59.78 | Steps  5683 | Reward  275958.0 | Avg(10)  121595.5 | Dist   2110m ( 68.1%) | Buf  50.0% | Total  249834 | End: off_track
Ep ep_000473.18 | Time 1:39.43 | Steps  4758 | Reward  225153.9 | Avg(10)  138680.0 | Dist   1573m ( 50.8%) | Buf  50.9% | Total  254592 | End: off_track
Ep ep_000474.18 | Time 2:39.67 | Steps  7640 | Reward  365250.5 | Avg(10)  169727.8 | Dist   2779m ( 89.7%) | Buf  52.4% | Total  262232 | End: off_track
Ep ep_000475.18 | Time 1:01.81 | Steps  3038 | Reward  144808.5 | Avg(10)  178856.2 | Dist    871m ( 28.1%) | Buf  53.1% | Total  265270 | End: off_track
Ep ep_000476.18 | Time 2:34.43 | Steps  7378 | Reward  357977.7 | Avg(10)  208992.3 | Dist   2780m ( 89.7%) | Buf  54.5% | Total  272648 | End: off_track
Ep ep_000477.18 | Time 2:29.03 | Steps  7108 | Reward  349546.1 | Avg(10)  238737.8 | Dist   2779m ( 89.7%) | Buf  56.0% | Total  279756 | End: off_track
Ep ep_000478.18 | Time 2:30.57 | Steps  7185 | Reward  348826.4 | Avg(10)  268351.7 | Dist   2777m ( 89.6%) | Buf  57.4% | Total  286941 | End: off_track
Ep ep_000479.18 | Time 1:49.33 | Steps  5208 | Reward  254065.0 | Avg(10)  288468.5 | Dist   1986m ( 64.1%) | Buf  58.4% | Total  292149 | End: backwards
Ep ep_000480.18 | Time 1:42.13 | Steps  4881 | Reward  236546.0 | Avg(10)  283814.2 | Dist   1759m ( 56.8%) | Buf  59.4% | Total  297030 | End: too_slow
Ep ep_000481.18 | Time 2:27.95 | Steps  7054 | Reward  345374.1 | Avg(10)  290350.6 | Dist   2774m ( 89.5%) | Buf  60.8% | Total  304084 | End: off_track
Ep ep_000482.18 | Time 2:32.23 | Steps  7268 | Reward  354948.8 | Avg(10)  298249.7 | Dist   2774m ( 89.5%) | Buf  62.3% | Total  311352 | End: off_track
Ep ep_000483.18 | Time 2:38.73 | Steps  7593 | Reward  369012.8 | Avg(10)  312635.6 | Dist   2777m ( 89.6%) | Buf  63.8% | Total  318945 | End: off_track
Ep ep_000484.18 | Time 2:45.07 | Steps  7910 | Reward  379290.6 | Avg(10)  314039.6 | Dist   2786m ( 89.9%) | Buf  65.4% | Total  326855 | End: off_track
Ep ep_000485.18 | Time 1:53.44 | Steps  5395 | Reward  227984.9 | Avg(10)  322357.3 | Dist   1549m ( 50.0%) | Buf  66.5% | Total  332250 | End: off_track
Ep ep_000486.18 | Time 0:59.47 | Steps  2921 | Reward  121414.9 | Avg(10)  298701.0 | Dist    571m ( 18.4%) | Buf  67.0% | Total  335171 | End: off_track
Ep ep_000487.18 | Time 1:58.30 | Steps  5616 | Reward  261846.0 | Avg(10)  289931.0 | Dist   1984m ( 64.0%) | Buf  68.2% | Total  340787 | End: too_slow
Ep ep_000488.18 | Time 1:15.67 | Steps  3678 | Reward  169738.5 | Avg(10)  272022.2 | Dist   1086m ( 35.0%) | Buf  68.9% | Total  344465 | End: off_track
