Ep    0 | Time 0:08.03 | Steps   422 | Reward  19517.9 | Avg(10)  19517.9 | Buf   0.1% | Total     422 | End: off_track
Ep   45 | Time 1:10.72 | Steps  3453 | Reward 537767.5 | Avg(10) 476012.3 | Buf  23.9% | Total  119389 | End: off_track
Ep   46 | Time 1:12.61 | Steps  3539 | Reward 536562.3 | Avg(10) 475686.3 | Buf  24.6% | Total  122928 | End: off_track
Ep   47 | Time 1:13.71 | Steps  3589 | Reward 538585.3 | Avg(10) 464959.6 | Buf  25.3% | Total  126517 | End: too_slow
Ep   48 | Time 1:13.25 | Steps  3568 | Reward 539786.2 | Avg(10) 502172.0 | Buf  26.0% | Total  130085 | End: too_slow
Ep   49 | Time 1:10.21 | Steps  3430 | Reward 540328.9 | Avg(10) 539366.6 | Buf  26.7% | Total  133515 | End: off_track
Ep   50 | Time 1:04.36 | Steps  3164 | Reward 481273.1 | Avg(10) 533545.7 | Buf  27.3% | Total  136679 | End: too_slow
Ep   51 | Time 1:16.55 | Steps  3718 | Reward 533735.0 | Avg(10) 533120.6 | Buf  28.1% | Total  140397 | End: too_slow
Ep   52 | Time 1:13.31 | Steps  3571 | Reward 538853.2 | Avg(10) 532903.9 | Buf  28.8% | Total  143968 | End: off_track
Ep   53 | Time 1:14.35 | Steps  3618 | Reward 533924.6 | Avg(10) 532387.9 | Buf  29.5% | Total  147586 | End: off_track
Ep   54 | Time 0:29.23 | Steps  1422 | Reward 165488.2 | Avg(10) 494630.4 | Buf  29.8% | Total  149008 | End: off_track
Ep   55 | Time 0:20.85 | Steps  1041 | Reward 117697.6 | Avg(10) 452623.4 | Buf  30.0% | Total  150049 | End: off_track
Ep   56 | Time 1:06.21 | Steps  3248 | Reward 419890.3 | Avg(10) 440956.2 | Buf  30.7% | Total  153297 | End: off_track
Ep   57 | Time 1:14.35 | Steps  3618 | Reward 536331.6 | Avg(10) 440730.9 | Buf  31.4% | Total  156915 | End: too_slow
Ep   58 | Time 1:13.03 | Steps  3558 | Reward 534815.3 | Avg(10) 440233.8 | Buf  32.1% | Total  160473 | End: off_track
Ep   59 | Time 1:17.23 | Steps  3749 | Reward 533953.5 | Avg(10) 439596.3 | Buf  32.8% | Total  164222 | End: too_slow
Ep   60 | Time 1:13.31 | Steps  3571 | Reward 532509.2 | Avg(10) 444719.9 | Buf  33.6% | Total  167793 | End: off_track
Ep   61 | Time 1:11.66 | Steps  3496 | Reward 535758.8 | Avg(10) 444922.2 | Buf  34.3% | Total  171289 | End: off_track
Ep   62 | Time 1:08.78 | Steps  3365 | Reward 538981.9 | Avg(10) 444935.1 | Buf  34.9% | Total  174654 | End: off_track
Ep   63 | Time 0:27.52 | Steps  1344 | Reward 170965.3 | Avg(10) 408639.2 | Buf  35.2% | Total  175998 | End: off_track
Ep   64 | Time 1:12.57 | Steps  3537 | Reward 536459.7 | Avg(10) 445736.3 | Buf  35.9% | Total  179535 | End: off_track
Ep   65 | Time 1:12.28 | Steps  3524 | Reward 535137.8 | Avg(10) 487480.3 | Buf  36.6% | Total  183059 | End: off_track
Ep   66 | Time 0:28.40 | Steps  1384 | Reward 166335.3 | Avg(10) 462124.8 | Buf  36.9% | Total  184443 | End: off_track
Ep   67 | Time 0:19.38 | Steps   974 | Reward 116906.7 | Avg(10) 420182.3 | Buf  37.1% | Total  185417 | End: off_track
Ep   68 | Time 0:27.65 | Steps  1350 | Reward 170145.7 | Avg(10) 383715.4 | Buf  37.4% | Total  186767 | End: off_track
Ep   69 | Time 0:40.11 | Steps  1953 | Reward 272584.8 | Avg(10) 357578.5 | Buf  37.7% | Total  188720 | End: off_track
Ep   70 | Time 0:27.91 | Steps  1362 | Reward 171217.0 | Avg(10) 321449.3 | Buf  38.0% | Total  190082 | End: off_track
Ep   71 | Time 1:03.93 | Steps  3144 | Reward 486771.6 | Avg(10) 316550.6 | Buf  38.6% | Total  193226 | End: too_slow
Ep   72 | Time 0:40.81 | Steps  1988 | Reward 273244.7 | Avg(10) 289976.9 | Buf  39.0% | Total  195214 | End: off_track
Ep   73 | Time 1:40.77 | Steps  4819 | Reward 608299.7 | Avg(10) 333710.3 | Buf  40.0% | Total  200033 | End: too_slow
Ep   74 | Time 1:09.31 | Steps  3389 | Reward 537671.7 | Avg(10) 333831.5 | Buf  40.7% | Total  203422 | End: off_track
Ep   75 | Time 0:28.55 | Steps  1391 | Reward 167296.8 | Avg(10) 297047.4 | Buf  41.0% | Total  204813 | End: off_track
Ep   76 | Time 1:12.90 | Steps  3552 | Reward 537779.0 | Avg(10) 334191.8 | Buf  41.7% | Total  208365 | End: off_track
Ep   77 | Time 1:09.77 | Steps  3410 | Reward 537082.1 | Avg(10) 376209.3 | Buf  42.4% | Total  211775 | End: off_track
Ep   78 | Time 1:10.96 | Steps  3464 | Reward 529705.1 | Avg(10) 412165.3 | Buf  43.0% | Total  215239 | End: off_track
Ep   79 | Time 1:09.57 | Steps  3401 | Reward 536919.4 | Avg(10) 438598.7 | Buf  43.7% | Total  218640 | End: off_track
Ep   80 | Time 0:26.99 | Steps  1320 | Reward 165085.8 | Avg(10) 437985.6 | Buf  44.0% | Total  219960 | End: too_slow
