t,dfs,v,steer,angle,width,trackPos,ontrack
0.42,3599.02,2.85389,-0.4021,0.0351683,12.0256,0.325107,1
0.44,3599.07,2.99439,-0.394663,0.0377709,11.9436,0.324148,1
0.46,3599.14,3.13547,-0.397331,0.0404627,11.8403,0.323123,1
0.48,3599.2,3.27747,-0.385491,0.0432941,11.7092,0.322025,1
0.502,3599.27,3.43728,-0.378554,0.0464742,11.5021,0.320736,1
0.522,3599.34,3.58242,-0.380841,0.0494458,11.3087,0.319489,1
0.542,3599.42,3.72636,-0.374944,0.0525491,11.1073,0.318158,1
0.562,3599.49,3.87047,-0.362547,0.0557315,10.9009,0.316743,1
0.582,3599.57,4.015,-0.345117,0.0589358,10.6931,0.31525,1
0.602,3599.65,4.16011,-0.339043,0.0621006,10.4876,0.313692,1
0.622,3599.74,4.30456,-0.32697,0.0653054,10.2797,0.312059,1
0.642,3599.82,4.44944,-0.306482,0.0685126,10.0719,0.310348,1
0.662,3599.91,4.59506,-0.287414,0.0716287,9.86966,0.308569,1
0.682,3600.01,4.74069,-0.265578,0.0746447,9.67352,0.30673,1
0.702,3600.1,4.88656,-0.256837,0.0775348,9.48501,0.304835,1
0.722,3600.2,5.03181,-0.252408,0.0803906,9.29897,0.302874,1
0.742,3600.3,5.17678,-0.2482,0.0832669,9.11261,0.300828,1
0.762,3600.41,5.32169,-0.23568,0.086177,8.92527,0.298691,1
0.782,3600.51,5.46706,-0.221367,0.0890443,8.74159,0.296467,1
0.802,3600.62,5.61269,-0.210807,0.0918123,8.56499,0.294165,1
0.822,3600.74,5.75817,-0.19516,0.0945131,8.39377,0.291786,1
0.842,3600.85,5.90392,-0.186333,0.0970942,8.23118,0.289333,1
0.862,3600.97,6.04939,-0.160742,0.0995995,8.07516,0.286807,1
0.882,3601.09,6.19558,-0.151282,0.101878,7.93375,0.28422,1
0.902,3601.22,6.34122,-0.153505,0.104023,7.80227,0.281576,1
0.922,3601.35,6.48622,-0.141785,0.106214,7.80959,0.278847,1
0.942,3601.48,6.63175,-0.137728,0.108339,7.85211,0.27603,1
0.962,3601.61,6.77706,-0.138352,0.110421,7.90242,0.273128,1
0.982,3601.74,6.92214,-0.140795,0.112533,7.96459,0.270128,1
1.004,3601.9,7.08153,-0.132579,0.114946,8.05369,0.2667,1
1.024,3602.04,7.22681,-0.12986,0.11711,8.15834,0.263472,1
1.044,3602.18,7.37194,-0.120867,0.119248,8.29827,0.260141,1
1.064,3602.33,7.51731,-0.118593,0.121308,8.49935,0.256714,1
1.084,3602.48,7.66242,-0.111726,0.123338,8.88112,0.253189,1
1.104,3602.64,7.80764,-0.0876993,0.125313,13.7665,0.249565,1
1.124,3602.79,7.95336,-0.0834587,0.127,13.5892,0.245871,1
1.144,3602.95,8.09864,-0.073895,0.128523,13.4324,0.242114,1
1.164,3603.11,8.24392,-0.0627542,0.129931,13.3435,0.238287,1
1.184,3603.28,8.38917,-0.0555027,0.131174,13.2607,0.234393,1
1.204,3603.45,8.53433,-0.0472702,0.132283,13.1828,0.230434,1
1.224,3603.62,8.67947,-0.0335107,0.133251,13.11,0.226412,1
1.244,3603.79,8.82461,-0.0396955,0.134012,13.0328,0.222336,1
1.264,3603.97,8.96947,-0.0286511,0.134773,12.9263,0.218192,1
1.284,3604.15,9.11453,-0.0192984,0.135438,12.8254,0.213979,1
1.304,3604.33,9.26222,-0.0112573,0.1359,12.7378,0.209713,1
1.324,3604.51,9.41317,-0.00680409,0.1362,12.6604,0.2054,1
1.344,3604.7,9.56717,0.0185033,0.136388,12.59,0.201038,1
1.364,3604.89,9.72372,0.029232,0.136197,12.5448,0.196655,1
1.384,3605.09,9.883,0.0432278,0.135655,12.5229,0.192272,1
1.404,3605.28,10.0449,0.0587449,0.134811,12.5209,0.187892,1
1.424,3605.49,10.2093,0.0634527,0.133607,12.5429,0.183533,1
1.444,3605.69,10.3767,0.0749759,0.132172,12.5802,0.179191,1
1.464,3605.9,10.5469,0.064269,0.130491,12.6334,0.174869,1
1.484,3606.11,10.7207,0.0717782,0.128811,12.686,0.170549,1
1.504,3606.32,10.8974,0.0694939,0.127076,12.7416,0.166223,1
1.524,3606.54,11.0774,0.0741769,0.125281,12.8005,0.161894,1
1.544,3606.76,11.2606,0.0712827,0.123398,12.8647,0.157564,1
1.564,3606.99,11.4479,0.0727196,0.121527,12.9229,0.153227,1
1.584,3607.22,11.5454,0.0889174,0.119789,12.9493,0.148896,1
1.604,3607.45,11.6866,0.0841543,0.117812,12.9848,0.144631,1
1.624,3607.68,11.787,0.0945875,0.115623,13.0282,0.140416,1
1.644,3607.92,11.929,0.0929186,0.113273,13.0779,0.136283,1
1.664,3608.16,12.0337,0.0896087,0.110746,13.179,0.132209,1
1.684,3608.4,12.1785,0.090347,0.108297,13.2952,0.128209,1
1.704,0.185222,12.2857,0.0978637,0.106998,13.407,0.123535,1
1.724,0.432319,12.4325,0.0902904,0.10603,13.3793,0.119578,1
1.744,0.682567,12.5423,0.0993138,0.10503,13.291,0.115606,1
1.764,0.934812,12.6908,0.0971612,0.104033,13.1243,0.111649,1
1.784,1.19017,12.8039,0.0934252,0.102904,12.9524,0.107686,1
1.804,1.44727,12.9078,0.103675,0.101587,12.8313,0.103734,1
1.824,1.70676,13.0491,0.107587,0.100121,12.7378,0.099762,1
1.844,1.96946,13.2215,0.108145,0.0985626,12.3822,0.0958125,1
1.864,2.23558,13.3498,0.115208,0.0969793,12.1119,0.091891,1
1.884,2.50397,13.5058,0.124548,0.0954852,11.6025,0.0880432,1
1.904,2.77567,13.6234,0.120148,0.093672,11.1093,0.0842539,1
1.924,3.04959,13.7796,0.119731,0.0918745,10.7074,0.0805461,1
1.944,3.32685,13.9022,0.131627,0.0899267,10.3988,0.0768763,1
1.964,3.60632,14.054,0.138166,0.0878778,10.1665,0.0732829,1
1.984,3.88918,14.1849,0.137062,0.0853654,9.98167,0.0697657,1
2.006,4.20301,14.3567,0.14242,0.0825047,9.86719,0.0660299,1
2.028,4.52103,14.5026,0.14356,0.0792921,9.83272,0.0623856,1
2.05,4.84199,14.6764,0.145307,0.0761924,9.84534,0.0588964,1
2.072,5.16717,14.8254,0.129803,0.0727939,9.87715,0.0555115,1
2.094,5.49525,15.0014,0.127468,0.0698962,9.94147,0.0522486,1
2.116,5.82716,15.0966,0.128397,0.0670131,10.0295,0.049057,1
2.138,6.15931,15.0856,0.103441,0.0642585,10.1338,0.0460281,1
2.16,6.49128,15.0862,0.104889,0.0618817,10.2438,0.0431163,1
2.182,6.82482,15.2415,0.107048,0.059806,10.3561,0.0402654,1
2.204,7.16245,15.4006,0.106737,0.0578098,10.4741,0.0374603,1
2.226,7.50336,15.5796,0.104441,0.0560215,10.5923,0.0347417,1
2.248,7.84826,15.7276,0.0921448,0.054236,10.7161,0.0320816,1
2.27,8.19624,15.9049,0.0789,0.0527864,10.8332,0.0294698,1
2.292,8.54832,16.0628,0.0720305,0.0516096,10.9443,0.0268377,1
2.314,8.90363,16.2399,0.0859431,0.0508686,11.0421,0.0241877,1
2.336,9.26308,16.407,0.099624,0.0499067,11.1505,0.0215276,1
2.358,9.62598,16.586,0.113285,0.0484685,11.28,0.0189438,1
2.38,9.99312,16.7575,0.127985,0.0463233,11.4414,0.0164566,1
2.402,10.3637,16.9392,0.117789,0.0437454,11.6108,0.0141347,1
2.424,10.7387,17.1153,0.11057,0.0408283,11.8216,0.01194,1
2.446,11.1172,17.3015,0.117517,0.0383067,12.0143,0.00987244,1
2.468,11.5002,17.482,0.114882,0.0356083,12.176,0.00791168,1
2.49,11.8868,17.6699,0.120004,0.03306,12.1655,0.00609843,1
2.512,12.2779,17.8593,0.107798,0.0302435,12.1549,0.00440725,1
2.534,12.673,18.0589,0.119205,0.027862,12.1453,0.0028712,1
2.556,13.0726,18.2402,0.114307,0.0253296,12.1357,0.00147247,1
2.578,13.476,18.4325,0.117444,0.0228585,12.1266,0.000246684,1
2.6,13.8839,18.623,0.111602,0.0200019,12.0632,-0.000854492,1
2.622,14.2957,18.817,0.110593,0.0172586,11.955,-0.00180054,1
2.644,14.7122,19.0176,0.118099,0.0142385,11.7608,-0.0026296,1
2.666,15.1328,19.2179,0.108488,0.011154,11.5935,-0.00326792,1
2.688,15.5581,19.4249,0.0976163,0.00781907,11.458,-0.00375875,1
2.71,15.9877,19.6312,0.0737548,0.00505143,11.4176,-0.00408427,1
2.732,16.4222,19.8444,0.0696265,0.00278229,11.4315,-0.00433858,1
2.754,16.861,20.0552,0.0705433,0.00140571,11.4719,-0.00450897,1
2.776,17.3049,20.2719,0.0769171,0.000119478,11.5287,-0.00462341,1
2.798,17.7533,20.4933,0.0759044,-0.000987798,11.6024,-0.00463359,1
2.82,18.2069,20.7156,0.0740014,-0.00225148,11.6941,-0.00455475,1
2.842,18.665,20.9323,0.0707197,-0.00323582,11.7918,-0.00436147,1
2.864,19.1282,21.1504,0.0638333,-0.00437894,11.9051,-0.00410461,1
2.886,19.5959,21.3644,0.055409,-0.00522153,12.0151,-0.00378164,1
2.908,20.0687,21.5867,0.0548532,-0.00599076,12.0319,-0.00345357,1
2.93,20.546,21.8064,0.0551211,-0.0064448,12.0289,-0.00309753,1
2.952,21.0285,22.0317,0.0682605,-0.00699545,12.0259,-0.00273387,1
2.974,21.5138,22.0526,0.0657026,-0.00735401,12.0232,-0.00227865,1
2.996,21.9983,22.0028,0.0538738,-0.00786667,12.0205,-0.00169118,1
3.018,22.4818,21.9537,0.0400529,-0.00830477,12.0181,-0.00104014,1
3.04,22.9661,22.1059,0.0480229,-0.00830527,12.0161,-0.000406901,1
3.062,23.4543,22.2163,0.053547,-0.00813054,12.0142,0.000183105,1
3.084,23.9425,22.1646,0.0434108,-0.00785682,12.0123,0.000811259,1
3.106,24.4295,22.1146,0.0306059,-0.00752628,12.0074,0.00144958,1
3.128,24.9155,22.0651,0.0272417,-0.00678575,12.0071,0.00202433,1
3.15,25.4004,22.0158,0.0263271,-0.00565512,12.0071,0.00250753,1
3.172,25.8842,21.9666,0.0264603,-0.00432105,12.0074,0.00288645,1
3.194,26.3688,22.1161,0.0321827,-0.00291015,12.0073,0.00315348,1
3.216,26.8573,22.2259,0.0295195,-0.00157788,11.9973,0.00330098,1
3.238,27.3458,22.1746,0.0273927,-0.000133112,11.9853,0.00336456,1
3.26,27.8331,22.1248,0.0149585,0.00132652,11.9778,0.00332133,1
3.282,28.3193,22.0753,0.0202748,0.00307927,11.9748,0.00313822,1
3.304,28.8044,22.0258,0.0161186,0.00497641,11.9742,0.00279744,1
3.326,29.2884,21.9766,0.00863829,0.00692829,11.9752,0.00230662,1
3.348,29.7732,22.1264,0.0213418,0.00914569,11.977,0.00163015,1
3.37,30.262,22.2349,0.0151023,0.0113394,11.9798,0.000762939,1
3.392,30.7505,22.1838,0.0166446,0.0135848,11.9833,-0.000256856,1
3.414,31.2379,22.134,0.0199124,0.0157583,11.9875,-0.0014445,1
3.436,31.7241,22.0844,0.0247246,0.0177818,11.9933,-0.00278982,1
