t,dist,v,vy,angle,trackPos,rpm,gear,wsv0,wsv1,wsv2,wsv3,steer,accel,brake,kappa,ontrack
-0.982,0,-0.00253624,-0.000841633,0.00822276,0.333439,5235.99,0,0,0,0,0,0.000935256,0.55,0,0.00320074,1
-0.962,0,-0.00253624,-0.000841633,0.00822276,0.333439,5318.29,0,0,0,0,0,-0.00397471,0.55,0,0.00320074,1
-0.942,0,-0.00253624,-0.000841633,0.00822276,0.333439,5401.91,0,0,0,0,0,-0.00241466,0.55,0,0.00320074,1
-0.922,0,-0.00253624,-0.000841633,0.00822276,0.333439,5486.87,0,0,0,0,0,-0.00637014,0.55,0,0.00320074,1
-0.902,0,-0.00253624,-0.000841633,0.00822276,0.333439,5573.18,0,0,0,0,0,-0.00613904,0.55,0,0.00320074,1
-0.882,0,-0.00253624,-0.000841633,0.00822276,0.333439,5660.85,0,0,0,0,0,-0.0104859,0.55,0,0.00320074,1
-0.862,0,-0.00253624,-0.000841633,0.00822276,0.333439,5749.91,0,0,0,0,0,-0.00658369,0.55,0,0.00320074,1
-0.842,0,-0.00253624,-0.000841633,0.00822276,0.333439,5840.37,0,0,0,0,0,-0.00946514,0.55,0,0.00320074,1
-0.822,0,-0.00253624,-0.000841633,0.00822276,0.333439,5932.25,0,0,0,0,0,-0.000356728,0.55,0,0.00320074,1
-0.802,0,-0.00253624,-0.000841633,0.00822276,0.333439,6025.57,0,0,0,0,0,-0.00731924,0.55,0,0.00320074,1
-0.782,0,-0.00253624,-0.000841633,0.00822276,0.333439,6120.34,0,0,0,0,0,-0.0278892,0.55,0,0.00320074,1
-0.762,0,-0.00253624,-0.000841633,0.00822276,0.333439,6216.58,0,0,0,0,0,-0.0463545,0.55,0,0.00320074,1
-0.742,0,-0.00253624,-0.000841633,0.00822276,0.333439,6314.31,0,0,0,0,0,-0.0568681,0.55,0,0.00320074,1
-0.722,0,-0.00253624,-0.000841633,0.00822276,0.333439,6413.55,0,0,0,0,0,-0.0666769,0.55,0,0.00320074,1
-0.702,0,-0.00253624,-0.000841633,0.00822276,0.333439,6514.31,0,0,0,0,0,-0.0689999,0.55,0,0.00320074,1
