=== Session 2026-05-30 12:21:21 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000000 | next: ep_000001 ===
Ep ep_000001 | Time 0:05.61 | Steps   312 | Reward   10694.3 | Avg(10)   10694.3 | Dist     10m (  0.3%) | Buf   0.1% | Total     312 | End: off_track
Ep ep_000021 | Time 0:20.48 | Steps  1024 | Reward   45698.3 | Avg(10)   16687.5 | Dist    148m (  4.6%) | Buf   1.4% | Total    7067 | End: off_track
Ep ep_000022 | Time 0:09.01 | Steps   471 | Reward   18406.1 | Avg(10)   17439.4 | Dist     10m (  0.3%) | Buf   1.5% | Total    7538 | End: off_track
Ep ep_000023 | Time 0:08.83 | Steps   462 | Reward   17964.4 | Avg(10)   18434.2 | Dist     10m (  0.3%) | Buf   1.6% | Total    8000 | End: off_track
Ep ep_000024 | Time 0:07.26 | Steps   387 | Reward   14374.5 | Avg(10)   18794.1 | Dist     10m (  0.3%) | Buf   1.7% | Total    8387 | End: off_track
Ep ep_000025 | Time 0:07.68 | Steps   406 | Reward   15320.4 | Avg(10)   19336.9 | Dist     10m (  0.3%) | Buf   1.8% | Total    8793 | End: off_track
Ep ep_000026 | Time 0:07.11 | Steps   380 | Reward   14123.9 | Avg(10)   20029.3 | Dist     10m (  0.3%) | Buf   1.8% | Total    9173 | End: off_track
Ep ep_000027 | Time 0:05.48 | Steps   306 | Reward   10370.3 | Avg(10)   20537.0 | Dist     10m (  0.3%) | Buf   1.9% | Total    9479 | End: off_track
Ep ep_000028 | Time 0:08.23 | Steps   432 | Reward   16611.9 | Avg(10)   21668.2 | Dist     10m (  0.3%) | Buf   2.0% | Total    9911 | End: off_track
Ep ep_000029 | Time 0:08.29 | Steps   435 | Reward   16778.4 | Avg(10)   22903.4 | Dist     10m (  0.3%) | Buf   2.1% | Total   10346 | End: off_track
Ep ep_000030 | Time 0:07.86 | Steps   414 | Reward   15782.2 | Avg(10)   18543.0 | Dist     10m (  0.3%) | Buf   2.2% | Total   10760 | End: off_track
Ep ep_000031 | Time 0:07.84 | Steps   413 | Reward   15765.5 | Avg(10)   15549.8 | Dist     10m (  0.3%) | Buf   2.2% | Total   11173 | End: off_track
Ep ep_000032 | Time 0:07.40 | Steps   393 | Reward   14825.0 | Avg(10)   15191.7 | Dist     10m (  0.3%) | Buf   2.3% | Total   11566 | End: off_track
Ep ep_000033 | Time 0:07.48 | Steps   397 | Reward   15016.0 | Avg(10)   14896.8 | Dist     10m (  0.3%) | Buf   2.4% | Total   11963 | End: off_track
Ep ep_000034 | Time 0:07.24 | Steps   386 | Reward   14491.2 | Avg(10)   14908.5 | Dist     10m (  0.3%) | Buf   2.5% | Total   12349 | End: off_track
Ep ep_000035 | Time 0:08.41 | Steps   441 | Reward   17246.1 | Avg(10)   15101.1 | Dist     10m (  0.3%) | Buf   2.6% | Total   12790 | End: off_track
Ep ep_000036 | Time 0:07.55 | Steps   400 | Reward   15261.7 | Avg(10)   15214.8 | Dist     10m (  0.3%) | Buf   2.6% | Total   13190 | End: off_track
Ep ep_000037 | Time 0:07.20 | Steps   384 | Reward   14548.9 | Avg(10)   15632.7 | Dist     10m (  0.3%) | Buf   2.7% | Total   13574 | End: off_track
Ep ep_000038 | Time 0:08.31 | Steps   436 | Reward   17126.4 | Avg(10)   15684.1 | Dist     10m (  0.3%) | Buf   2.8% | Total   14010 | End: off_track
Ep ep_000039 | Time 0:08.39 | Steps   440 | Reward   17356.7 | Avg(10)   15742.0 | Dist     10m (  0.3%) | Buf   2.9% | Total   14450 | End: off_track
Ep ep_000040 | Time 0:08.25 | Steps   433 | Reward   17035.7 | Avg(10)   15867.3 | Dist     10m (  0.3%) | Buf   3.0% | Total   14883 | End: off_track
Ep ep_000041 | Time 0:20.08 | Steps  1006 | Reward   45684.9 | Avg(10)   18859.3 | Dist    141m (  4.4%) | Buf   3.2% | Total   15889 | End: off_track
Ep ep_000042 | Time 0:09.17 | Steps   479 | Reward   19411.1 | Avg(10)   19317.9 | Dist     10m (  0.3%) | Buf   3.3% | Total   16368 | End: off_track
Ep ep_000043 | Time 0:09.37 | Steps   489 | Reward   19928.8 | Avg(10)   19809.1 | Dist     10m (  0.3%) | Buf   3.4% | Total   16857 | End: off_track
Ep ep_000044 | Time 1:03.33 | Steps  3114 | Reward  143159.0 | Avg(10)   32675.9 | Dist   1217m ( 38.0%) | Buf   4.0% | Total   19971 | End: off_track
