Ep ep_000254.16 | Time 0:15.37 | Steps   789 | Reward   34998.3 | Avg(10)   39091.0 | Dist     10m (  0.3%) | Buf   7.9% | Total 1116814 | End: off_track
Ep ep_000255.16 | Time 0:46.23 | Steps  2259 | Reward  104773.2 | Avg(10)   46006.1 | Dist    881m ( 28.4%) | Buf   8.3% | Total 1119073 | End: off_track
Ep ep_000256.16 | Time 0:18.17 | Steps   919 | Reward   41494.1 | Avg(10)   45284.8 | Dist     10m (  0.3%) | Buf   8.5% | Total 1119992 | End: off_track
Ep ep_000257.16 | Time 0:17.38 | Steps   883 | Reward   39675.6 | Avg(10)   45458.9 | Dist     10m (  0.3%) | Buf   8.7% | Total 1120875 | End: off_track
Ep ep_000258.16 | Time 0:17.53 | Steps   890 | Reward   39985.9 | Avg(10)   45518.7 | Dist     10m (  0.3%) | Buf   8.9% | Total 1121765 | End: off_track
Ep ep_000259.16 | Time 0:51.73 | Steps  2534 | Reward  121723.7 | Avg(10)   53606.5 | Dist   1019m ( 32.9%) | Buf   9.4% | Total 1124299 | End: off_track
Ep ep_000260.16 | Time 0:17.09 | Steps   870 | Reward   38768.1 | Avg(10)   53503.5 | Dist     10m (  0.3%) | Buf   9.6% | Total 1125169 | End: off_track
Ep ep_000261.16 | Time 0:29.89 | Steps  1452 | Reward   67021.5 | Avg(10)   55805.2 | Dist    293m (  9.5%) | Buf   9.9% | Total 1126621 | End: off_track
Ep ep_000262.16 | Time 0:16.50 | Steps   843 | Reward   37156.0 | Avg(10)   55793.5 | Dist     10m (  0.3%) | Buf  10.0% | Total 1127464 | End: off_track
Ep ep_000263.16 | Time 1:23.04 | Steps  4013 | Reward  194011.1 | Avg(10)   71960.8 | Dist   1980m ( 63.9%) | Buf  10.8% | Total 1131477 | End: off_track
  [ai-swap] loaded models/episodes/ep_000265.15 | new branch=17 | next=ep_000266.17
Ep ep_000266.17 | Time 0:22.96 | Steps  1137 | Reward   52179.0 | Avg(10)   52179.0 | Dist     74m (  2.4%) | Buf   0.2% | Total 1132614 | End: off_track
Ep ep_000267.17 | Time 0:32.79 | Steps  1587 | Reward   74339.4 | Avg(10)   63259.2 | Dist    245m (  7.9%) | Buf   0.5% | Total 1134201 | End: off_track
Ep ep_000268.17 | Time 0:37.79 | Steps  1837 | Reward   83850.9 | Avg(10)   70123.1 | Dist    323m ( 10.4%) | Buf   0.9% | Total 1136038 | End: off_track
Ep ep_000269.17 | Time 1:34.41 | Steps  4530 | Reward  217068.7 | Avg(10)  106859.5 | Dist   1914m ( 61.7%) | Buf   1.8% | Total 1140568 | End: off_track
Ep ep_000270.17 | Time 0:23.45 | Steps  1159 | Reward   53258.3 | Avg(10)   96139.3 | Dist     10m (  0.3%) | Buf   2.0% | Total 1141727 | End: off_track
Ep ep_000271.17 | Time 1:36.52 | Steps  4626 | Reward  221994.1 | Avg(10)  117115.1 | Dist   1890m ( 61.0%) | Buf   3.0% | Total 1146353 | End: too_slow
Ep ep_000272.17 | Time 1:40.37 | Steps  4801 | Reward  227293.8 | Avg(10)  132854.9 | Dist   1893m ( 61.1%) | Buf   3.9% | Total 1151154 | End: off_track
Ep ep_000273.17 | Time 0:33.81 | Steps  1638 | Reward   70212.9 | Avg(10)  125024.7 | Dist    132m (  4.3%) | Buf   4.3% | Total 1152792 | End: off_track
Ep ep_000274.17 | Time 2:55.33 | Steps  8423 | Reward  381233.4 | Avg(10)  153492.3 | Dist   2999m ( 96.8%) | Buf   5.9% | Total 1161215 | End: finished
=== Restarting after change (load: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000274.17) 2026-05-30 19:37:46 ===
=== Session 2026-05-30 19:38:17 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000274.17 | next: ep_000275.17 ===
Ep ep_000275.17 | Time 0:05.59 | Steps   311 | Reward   10828.8 | Avg(10)   10828.8 | Dist     10m (  0.3%) | Buf   0.1% | Total     311 | End: off_track
Ep ep_000276.17 | Time 0:03.72 | Steps   226 | Reward    6065.0 | Avg(10)    8446.9 | Dist     10m (  0.3%) | Buf   0.1% | Total     537 | End: off_track
Ep ep_000277.17 | Time 0:04.76 | Steps   273 | Reward    8956.7 | Avg(10)    8616.9 | Dist     10m (  0.3%) | Buf   0.2% | Total     810 | End: off_track
Ep ep_000278.17 | Time 0:03.11 | Steps   198 | Reward    4565.6 | Avg(10)    7604.0 | Dist     10m (  0.3%) | Buf   0.2% | Total    1008 | End: off_track
Ep ep_000279.17 | Time 0:03.24 | Steps   204 | Reward    5025.2 | Avg(10)    7088.3 | Dist     10m (  0.3%) | Buf   0.2% | Total    1212 | End: off_track
Ep ep_000280.17 | Time 0:03.28 | Steps   206 | Reward    5149.3 | Avg(10)    6765.1 | Dist     10m (  0.3%) | Buf   0.3% | Total    1418 | End: off_track
Ep ep_000281.17 | Time 0:03.85 | Steps   232 | Reward    6554.3 | Avg(10)    6735.0 | Dist     10m (  0.3%) | Buf   0.3% | Total    1650 | End: off_track
Ep ep_000282.17 | Time 0:03.50 | Steps   216 | Reward    5909.0 | Avg(10)    6631.7 | Dist     10m (  0.3%) | Buf   0.4% | Total    1866 | End: off_track
Ep ep_000283.17 | Time 0:03.28 | Steps   206 | Reward    5559.6 | Avg(10)    6512.6 | Dist     10m (  0.3%) | Buf   0.4% | Total    2072 | End: off_track
Ep ep_000284.17 | Time 0:03.37 | Steps   210 | Reward    5495.9 | Avg(10)    6410.9 | Dist     10m (  0.3%) | Buf   0.5% | Total    2282 | End: off_track
Ep ep_000285.17 | Time 0:04.65 | Steps   268 | Reward    8728.9 | Avg(10)    6200.9 | Dist     10m (  0.3%) | Buf   0.5% | Total    2550 | End: off_track
Ep ep_000286.17 | Time 0:03.90 | Steps   234 | Reward    6944.7 | Avg(10)    6288.9 | Dist     10m (  0.3%) | Buf   0.6% | Total    2784 | End: off_track
Ep ep_000287.17 | Time 0:05.24 | Steps   295 | Reward    9939.3 | Avg(10)    6387.1 | Dist     10m (  0.3%) | Buf   0.6% | Total    3079 | End: off_track
Ep ep_000288.17 | Time 0:02.09 | Steps   152 | Reward    2603.8 | Avg(10)    6191.0 | Dist     10m (  0.3%) | Buf   0.6% | Total    3231 | End: damage
Ep ep_000289.17 | Time 0:02.78 | Steps   183 | Reward    4400.6 | Avg(10)    6128.5 | Dist     10m (  0.3%) | Buf   0.7% | Total    3414 | End: damage
Ep ep_000290.17 | Time 0:04.76 | Steps   273 | Reward    8831.0 | Avg(10)    6496.7 | Dist     10m (  0.3%) | Buf   0.7% | Total    3687 | End: off_track
Ep ep_000291.17 | Time 0:05.70 | Steps   316 | Reward   11006.9 | Avg(10)    6942.0 | Dist     10m (  0.3%) | Buf   0.8% | Total    4003 | End: off_track
Ep ep_000292.17 | Time 0:03.06 | Steps   196 | Reward    4364.2 | Avg(10)    6787.5 | Dist     10m (  0.3%) | Buf   0.8% | Total    4199 | End: off_track
Ep ep_000293.17 | Time 0:03.44 | Steps   213 | Reward    5688.9 | Avg(10)    6800.4 | Dist     10m (  0.3%) | Buf   0.9% | Total    4412 | End: off_track
Ep ep_000294.17 | Time 0:02.93 | Steps   190 | Reward    3901.6 | Avg(10)    6641.0 | Dist     10m (  0.3%) | Buf   0.9% | Total    4602 | End: off_track
Ep ep_000295.17 | Time 0:03.59 | Steps   220 | Reward    6225.6 | Avg(10)    6390.7 | Dist     10m (  0.3%) | Buf   1.0% | Total    4822 | End: off_track
Ep ep_000296.17 | Time 0:03.88 | Steps   233 | Reward    6527.4 | Avg(10)    6348.9 | Dist     10m (  0.3%) | Buf   1.0% | Total    5055 | End: off_track
Ep ep_000297.17 | Time 0:37.19 | Steps  1807 | Reward   84409.1 | Avg(10)   13795.9 | Dist    465m ( 14.5%) | Buf   1.4% | Total    6862 | End: off_track
